guidename,type,currentStudentsAllocated
Dr. Priya Sharma,Professor,5
Dr. Raj Singh,Professor,4
Dr. Ananya Patel,Professor,7
Dr. Arjun Reddy,Professor,6
Dr. Nisha Kapoor,Professor,8
Dr. Vikram Joshi,Associate Professor,4
Dr. Sneha Desai,Associate Professor,5
Dr. Aryan Choudhary,Associate Professor,3
Dr. Meera Krishnan,Associate Professor,3
Dr. Karan Malhotra,Associate Professor,2
Dr. Neha Verma,Assistant Professor,0
Dr. Rahul Mehta,Assistant Professor,2
Dr. Pooja Saxena,Assistant Professor,1
Dr. Sanjay Sharma,Assistant Professor,3
Dr. Anjali Bhatia,Assistant Professor,1
Dr. Ravi Patel,Professor,4
Dr. Aisha Khan,Professor,6
Dr. Arnav Kapoor,Associate Professor,4
Dr. Priyanka Gupta,Associate Professor,5
Dr. Rohit Deshmukh,Associate Professor,3
Dr. Sanya Mittal,Assistant Professor,3
Dr. Ajay Kumar,Assistant Professor,2
Dr. Aishwarya Iyer,Assistant Professor,2
Dr. Akash Verma,Professor,6
Dr. Ananya Singh,Professor,5
,,94
